"YEAR","SERIAL","MONTH","HWTFINL","CPSID","STATEFIP","PERNUM","WTFINL","CPSIDP","CPSIDV","RACE","HISPAN","VOTED","VOREG","VOYNOTREG","VOWHYNOT"
2006,3297,11,1150.7384,20060803972500,32,1,1150.7384,20060803972501,200608039725011,100,100,1,1,6,99
2006,3297,11,1150.7384,20060803972500,32,2,1127.9344,20060803972503,200608039725031,100,100,99,99,99,99
2006,3297,11,1150.7384,20060803972500,32,3,1168.5819,20060803972502,200608039725021,100,100,99,99,99,99
2006,3297,11,1150.7384,20060803972500,32,4,1362.2643,20060803972504,200608039725042,100,100,99,99,99,99
2006,3298,11,951.6226,20060803965900,32,1,951.6226,20060803965901,200608039659011,100,0,2,99,99,99
2006,3298,11,951.6226,20060803965900,32,2,962.8019,20060803965902,200608039659021,100,0,2,99,99,99
2006,3298,11,951.6226,20060803965900,32,3,1049.4699,20060803965903,200608039659031,100,0,2,99,99,99
2006,3300,11,1237.157,20060906822200,32,1,1237.157,20060906822201,200609068222011,100,600,1,1,6,99
2006,3300,11,1237.157,20060906822200,32,2,1326.8672,20060906822202,200609068222021,100,600,1,1,6,99
2006,3300,11,1237.157,20060906822200,32,3,1347.2255,20060906822203,200609068222031,100,600,1,1,6,99
2006,3302,11,1256.4485,20060905378500,32,1,1256.4485,20060905378501,200609053785011,100,0,2,99,99,99
2006,3303,11,1507.5945,20060901980900,32,1,1507.5945,20060901980901,200609019809011,802,100,1,1,6,99
2006,3303,11,1507.5945,20060901980900,32,2,1507.3275,20060901980902,200609019809021,802,100,97,2,99,99
2006,3304,11,1293.3472,20060907045100,32,1,1293.3472,20060907045101,200609070451011,100,0,2,99,99,99
2006,3304,11,1293.3472,20060907045100,32,2,1184.5141,20060907045102,200609070451021,100,0,2,99,99,99
2006,3305,11,1184.5141,20060901981100,32,1,1184.5141,20060901981101,200609019811011,100,0,2,99,99,99
2006,3306,11,1288.3815,20060901981200,32,1,1288.3815,20060901981201,200609019812011,100,0,2,99,99,99
2006,3308,11,1189.3803,20061006844100,32,1,1063.9901,20061006844101,200610068441011,100,0,2,99,99,99
2006,3308,11,1189.3803,20061006844100,32,2,1189.3803,20061006844102,200610068441021,100,0,2,99,99,99
2006,3309,11,919.9918,20061000642900,32,1,1085.6228,20061000642901,200610006429011,100,0,1,1,6,99
2006,3309,11,919.9918,20061000642900,32,2,919.9918,20061000642902,200610006429021,100,0,2,99,99,99
2006,3310,11,1142.3502,20061003605600,32,1,1079.6303,20061003605601,200610036056011,100,100,97,2,99,99
2006,3310,11,1142.3502,20061003605600,32,2,1142.3502,20061003605602,200610036056021,100,100,99,99,99,99
2006,3310,11,1142.3502,20061003605600,32,3,942.9831,20061003605603,200610036056031,100,100,99,99,99,99
2006,3310,11,1142.3502,20061003605600,32,4,1044.9056,20061003605604,200610036056041,100,100,99,99,99,99
